Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
IoT Foundations: Fundamentals,"The Internet of Things (IoT) is more than just smart or connected devices. In this course, learn what IoT is, and how it works from a technical standpoint. Bruce Sinclair provides a broad overview of IoT, explaining each of its main components. He also goes into the software-defined product—the digital twin of the physical product—as well as the hardware-defined product, explaining how sensors and embedded systems help to gather data. Plus, he dives into the network fabric, and explains what external systems are and why it's important to consider them when designing an IoT product.",Course,2022-07-16 01:16 UTC,N/A,false,N/A,
Executive Presence on Video Conference Calls,"<div><a href=""https://www.linkedin.com/newsletters/6757919178872750080?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Jessica's LinkedIn Newsletter</a></div><br>Learn how to shine on video conference calls. Communication consultant Jessica Chen provides expert advice to look and sound confident, collected, and smart on your next conference call or video presentation. Discover how to prepare your material, how to contribute to the call, and how to incorporate engaging visuals. Get body language, posture, and wardrobe tips to make a powerful impression. Finally, learn the technical details to building a mini ""studio"" for conducting calls, including choosing a webcam, lighting yourself, and placing a microphone for quality sound. <br><br>Note: This course was featured in <i>Market Watch</i>, <i>Inc.</i>, <i>Fortune</i>, <i>Forbes</i>, and <i>Entrepreneur</i>.",Course,2021-02-05 13:47 UTC,N/A,false,N/A,
R Essential Training Part 2: Modeling Data,"Trying to locate meaning and direction in big data is difficult. R can help you find your way. R is a statistical programming language to analyze and visualize the relationships between large amounts of data. It's one of the most important tools available for data analysis, machine learning, and data science. This training series provides a thorough introduction to R, with detailed instruction for working with R and RStudio and hands-on examples, from exploratory graphics to neural networks. In part two, <i>Modeling Data</i>, instructor Barton Poulson shows how to compute statistics, analyze data, predict outcomes, and group and classify cases. These are the fundamental techniques you need to generate meaningful insights for your organization.",Course,2021-12-04 16:43 UTC,N/A,false,N/A,
Excel Tips Weekly,"This tips-based course will show Excel users productivity-boosting tricks, cool hidden features, need-to-know functions, and advanced content on subjects such as using PivotTables for data analysis. Tune in every Tuesday for a new tip from expert Dennis Taylor. Each tutorial is a short, self-contained lesson guaranteed to give you new insights into Excel.<br><br>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.",Course,2019-05-01 13:11 UTC,N/A,false,N/A,
Excel: VLOOKUP and XLOOKUP for Beginners,"More from LinkedIn Learning's top experts<br><div><a href=""https://www.linkedin.com/newsletters/6758092793329016832?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">Business Software Newsletter</a></div><br>Many Excel users hear “VLOOKUP” and envision a complicated function reserved only for power users. Not so! VLOOKUP—and XLOOKUP, the newer version for 365 subscribers—are among Excel’s most powerful functions, yet you can master them with a few simple steps. In this mini-course, Jess Stratton walks you step-by-step through creating a simple lookup in Excel using both VLOOKUP and XLOOKUP, then shows you how to error-proof your formulas. Supercharge your Excel skills and save time with these powerful lookup functions.",Course,2021-09-28 01:09 UTC,N/A,false,N/A,
OneNote 2016 Essential Training,"Learn how to use OneNote to create, edit, and save digital notes to keep yourself organized. Instructor David Rivers highlights easy ways to create notes, add and format text, stay organized with tables, and share and password-protect your notebooks. Plus, discover how to integrate all sorts of content into notes, such as screen clippings, images, audio and video, and even Word documents and Excel spreadsheets. Tune in to quickly start taking and capturing digital notes you can access across different devices.",Course,2022-08-02 04:29 UTC,N/A,false,N/A,
Excel: Lookup Functions in Depth,"Microsoft Excel offers a variety of powerful lookup functions that allow you to easily retrieve information across spreadsheets. In this course, Excel expert Dennis Taylor demystifies some of the most  significant lookup functions. Tune in to learn how to use the new XLOOKUP function, which can handle all the capabilities of the widely used VLOOKUP and HLOOKUP functions, in addition to providing more power and flexibility. Explore uses of the MATCH function and the newer, more robust XMATCH function to match up data, and learn how to extract data using the INDEX function. Discover how to restructure the lists being searched to ensure that you're using each function efficiently, and learn about dynamic array lookup functions like UNIQUE, SORT, SORTBY, and FILTER. Along the way, Dennis shares practical examples that help you grasp how to implement these functions in your workflow.",Course,2021-10-01 18:49 UTC,N/A,false,N/A,
Python Object-Oriented Programming,"The object-oriented programming (OOP) features in Python make it easier to build programs of increasing complexity and modularity. In this course, you can learn how to apply core OOP principles like inheritance and composition along with some Python-specific features like “magic” methods and data classes to build programs that are extensible and efficient. Begin by brushing up on some object-oriented basics, and then use Python features like magic methods to make your classes integrate tightly with the Python language and data classes to dramatically reduce the amount of boilerplate code needed to build data-centric objects.",Course,2022-02-15 16:45 UTC,N/A,false,N/A,
How to Organize Your Time and Your Life,"Looking for an organizational system that fits your specific needs? Don’t just follow the trendiest new productivity hacks. In this course, adapted from the podcast <i>How to Be Awesome at Your Job</i>, join organization guru Julie Morgenstern as she discusses how to manage your time for greater productivity and build a system tailored to your needs. Julie goes over the importance of considering your goals and personality when designing your system. Figuring out what works best for you will ensure your system feels natural and functions optimally. Julie also covers how to troubleshoot your organizational systems in order to narrow down what’s working and what’s not, reclaim your creative time, keep your inbox from taking over your day, and more.<br><br>This course was created by Pete Mockaitis of <i><a href=""https://awesomeatyourjob.com/"" target=""_blank"">How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/How_to_Be_Awesome_at_Your_Job_LOGO.jpg"" height=""20%"" width=""20%"">",Course,2022-05-02 22:44 UTC,N/A,false,N/A,
Introduction to AWS for Non-Engineers: 1 Cloud Concepts,"Amazon Web Services (AWS)—and cloud computing in general—can be difficult for people without technical backgrounds to decipher. This introductory course is a bridge between non-engineers and the cloud. It is the first in a four-part series designed to help professionals in non-technical roles, including finance teams, project managers, and marketers, make the best use of AWS. Instructor Hiroko Nishimura—founder of Intro to AWS for Newbies—provides a brief history of cloud computing, an overview of cloud deployment models, and a summary of cloud design principles. She then shows how to create an account and start using the AWS Free Tier to gain hands-on experience with AWS products and services. Plus, get exam tips and learn about resources for professionals studying for the AWS Certified Cloud Practitioner exam.<br/><br/>Note: This course also maps to the first domain of the AWS Certified Cloud Practitioner exam. Taking all four courses in the <i>Introduction to AWS for Non-Engineers</i> series will help you prepare for the exam.",Course,2021-05-29 18:07 UTC,N/A,false,N/A,
Tableau for Data Scientists,"If your work requires any sort of graphical visualization of data, chances are you’ve run into Tableau. If you’ve been using Tableau but want to learn how to really harness its full power for data science, join expert Matt Francis in this course as he shows you how to take your skills to the next level. Matt starts with one of the most important features in Tableau: the difference between the green and blue pills (discrete and continuous data) and how this affects every single action Tableau performs. He then shows how to connect to and combine data from different data sources, how to create different charts to make sense of data, ways to transform your data with calculations, and how to create interactive maps. Finally, Matt details ways to present data effectively and how to make engaging dashboards. Whether you want to learn more about Tableau as a whole, or if you just want to improve your knowledge of a single subject, this course will help up your Tableau game.",Course,2022-07-07 06:01 UTC,N/A,false,N/A,
